Company Name,Ticker Symbol
QNB,QNBK
Qatar Islamic Bank,QIBK
Comm. Bank of Qatar,CBQK
Doha Bank,DHBK
Ahli Bank,ABQK
Intl. Islamic Bank,QIIK
Rayan,MARK
Lesha Bank (QFC),QFBQ
Dukhan Bank,DUBK
National Leasing,NLCS
Dlala,DBIS
Qatar Oman,QOIS
Inma,IHGS
Zad Holding Company,ZHCD
Qatar German Co. Med,QGMD
Salam International,SIIS
Baladna,BLDN
Medicare,MCGS
Cinema,QCFS
Qatar Fuel,QFLS
Widam,WDAM
Mannai Corp.,MCCS
Al Meera,MERS
Mekdam,MKDM
MEEZA QSTP,MEZA
Faleh,FALH
QAMCO,QAMC
Ind. Manf. Co.,QIMD
National Cement Co.,QNCD
Industries Qatar,IQCD
The Investors,QIGD
Electricity & Water,QEWS
Aamal,AHCS
Gulf International,GISS
Mesaieed,MPHC
Estithmar Holding,IGRD
Qatar Insurance,QATI
Doha Insurance Group,DOHI
QLM,QLMI
General Insurance,QGRI
Alkhaleej Takaful,AKHI
Islamic Insurance,QISI
Beema,BEMA
United Dev. Company,UDCD
Barwa,BRES
Ezdan Holding,ERES
Mazaya,MRDS
Ooredoo,ORDS
Vodafone Qatar,VFQS
Qatar Navigation,QNNS
Gulf warehousing Co,GWCS
Nakilat,QGTS
